fold,auc,accuracy,precision,recall
1,0.7681465821000706,0.7763157894736842,0.76,0.8837209302325582
2,0.9061624649859945,0.8552631578947368,0.8297872340425532,0.9285714285714286
3,0.8145743145743146,0.7733333333333333,0.7777777777777778,0.8333333333333334
4,0.7828282828282829,0.7466666666666667,0.7555555555555555,0.8095238095238095
5,0.6810966810966812,0.5733333333333334,0.6190476190476191,0.6190476190476191
