fold,auc,accuracy,precision,recall
1,0.6518675123326286,0.6052631578947368,0.6326530612244898,0.7209302325581395
2,0.7853641456582633,0.7236842105263158,0.7142857142857143,0.8333333333333334
3,0.6677489177489178,0.64,0.6595744680851063,0.7380952380952381
4,0.7536075036075036,0.68,0.6875,0.7857142857142857
5,0.5443722943722944,0.56,0.5882352941176471,0.7142857142857143
